trade_date,code,close,low,high,volume,amount,vwap,ratio,matched_factor,matched_after,matched_before
1992-07-08,600606.SH,188.5,159.5,195.0,297100.0,5595000.0,18.832043,0.099905,0.1,1992-05-21,1992-12-01
1992-07-08,600608.SH,193.0,190.5,197.1,308600.0,5985000.0,19.394038,0.100487,0.1,1992-05-21,1992-12-01
1992-07-08,600651.SH,371.0,368.0,392.5,117500.0,4454000.0,37.906383,0.102174,0.1,1991-09-02,1992-12-01
1992-07-08,600653.SH,513.0,500.05,555.0,598900.0,30998000.0,51.758223,0.100893,0.1,1992-04-01,1992-12-01
1992-07-08,600654.SH,182.0,179.75,198.5,210600.0,3894000.0,18.490028,0.101594,0.1,1992-06-01,1992-12-01
1992-07-09,000017.SZ,22.8,22.65,23.3,91300.0,10460000.0,114.56736,5.024884,5.0,1992-04-01,1993-05-01
1992-07-09,600601.SH,175.4,172.5,178.25,175600.0,3078000.0,17.528474,0.099934,0.1,1991-07-01,1992-12-01
1992-07-09,600602.SH,2183.0,2140.0,2231.5,567400.0,12401000.0,21.855834,0.010012,0.01,1991-01-03,1992-12-01
1992-07-09,600603.SH,393.2,390.0,448.75,368600.0,14633000.0,39.698861,0.100964,0.1,1992-05-08,1992-12-01
1992-07-09,600604.SH,254.0,245.0,257.7,771200.0,19560000.0,25.363071,0.099855,0.1,1992-05-11,1992-12-01
1992-07-09,600605.SH,172.0,167.5,173.5,232200.0,3965000.0,17.075797,0.099278,0.1,1992-05-13,1992-12-01
1992-07-09,600606.SH,185.0,180.5,188.75,218600.0,4022000.0,18.398902,0.099454,0.1,1992-05-21,1992-12-01
1992-07-09,600608.SH,192.5,189.5,198.0,207600.0,3979000.0,19.166667,0.099567,0.1,1992-05-21,1992-12-01
1992-07-09,600651.SH,370.0,361.0,376.0,104200.0,3863000.0,37.072937,0.100197,0.1,1991-09-02,1992-12-01
1992-07-09,600653.SH,491.5,475.0,513.0,821500.0,40366000.0,49.136945,0.099973,0.1,1992-04-01,1992-12-01
1992-07-09,600654.SH,174.0,171.15,183.75,191900.0,3342000.0,17.41532,0.100088,0.1,1992-06-01,1992-12-01
1992-07-10,000017.SZ,22.7,22.3,22.8,64000.0,7250000.0,113.28125,4.990363,5.0,1992-04-01,1993-05-01
1992-07-10,600601.SH,176.25,171.0,177.0,218800.0,3829000.0,17.5,0.099291,0.1,1991-07-01,1992-12-01
1992-07-10,600602.SH,2142.25,2130.0,2190.0,669000.0,14356000.0,21.458894,0.010017,0.01,1991-01-03,1992-12-01
1992-07-10,600603.SH,410.0,380.5,410.25,430000.0,17085000.0,39.732558,0.096909,0.1,1992-05-08,1992-12-01
1992-07-10,600604.SH,258.75,253.6,264.95,843200.0,21828000.0,25.887097,0.100047,0.1,1992-05-11,1992-12-01
1992-07-10,600605.SH,171.3,168.0,174.5,257000.0,4381000.0,17.046693,0.099514,0.1,1992-05-13,1992-12-01
1992-07-10,600606.SH,184.0,160.9,185.5,237800.0,4267000.0,17.94365,0.09752,0.1,1992-05-21,1992-12-01
1992-07-10,600608.SH,191.95,185.0,192.95,186600.0,3560000.0,19.078242,0.099392,0.1,1992-05-21,1992-12-01
1992-07-10,600651.SH,376.0,368.0,378.05,141600.0,5299000.0,37.422316,0.099527,0.1,1991-09-02,1992-12-01
1992-07-10,600653.SH,515.25,474.5,519.5,484100.0,24063000.0,49.706672,0.096471,0.1,1992-04-01,1992-12-01
1992-07-10,600654.SH,174.75,169.0,174.75,168400.0,2890000.0,17.16152,0.098206,0.1,1992-06-01,1992-12-01
1992-07-13,600601.SH,170.0,170.0,186.0,219200.0,3880000.0,17.70073,0.104122,0.1,1991-07-01,1992-12-01
1992-07-13,600602.SH,2000.0,1961.0,2159.95,906000.0,18238000.0,20.130243,0.010065,0.01,1991-01-03,1992-12-01
1992-07-13,600603.SH,407.0,314.5,428.75,385400.0,15846000.0,41.115724,0.101021,0.1,1992-05-08,1992-12-01
1992-07-13,600604.SH,250.3,232.75,268.5,288000.0,7398000.0,25.6875,0.102627,0.1,1992-05-11,1992-12-01
1992-07-13,600605.SH,164.0,156.0,174.25,131800.0,2226000.0,16.889226,0.102983,0.1,1992-05-13,1992-12-01
1992-07-13,600606.SH,184.9,181.5,188.0,140600.0,2601000.0,18.499289,0.10005,0.1,1992-05-21,1992-12-01
1992-07-13,600608.SH,191.0,189.0,195.95,140600.0,2693000.0,19.153627,0.100281,0.1,1992-05-21,1992-12-01
1992-07-13,600651.SH,377.5,370.05,389.0,148900.0,5637000.0,37.857623,0.100285,0.1,1991-09-02,1992-12-01
1992-07-13,600653.SH,528.0,517.75,550.5,608300.0,32107000.0,52.781522,0.099965,0.1,1992-04-01,1992-12-01
